T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,13,CALDWELL COUNTY,Grade 11,445
2014-2015,13,CALDWELL COUNTY,Grade 12,412
2014-2015,3,CALHOUN COUNTY,Early Education,7
2014-2015,3,CALHOUN COUNTY,Pre-kindergarten,189
2014-2015,3,CALHOUN COUNTY,Kindergarten,298
2014-2015,3,CALHOUN COUNTY,Grade  1,320
2014-2015,3,CALHOUN COUNTY,Grade  2,352
2014-2015,3,CALHOUN COUNTY,Grade  3,316
2014-2015,3,CALHOUN COUNTY,Grade  4,270
2014-2015,3,CALHOUN COUNTY,Grade  5,309
2014-2015,3,CALHOUN COUNTY,Grade  6,312
2014-2015,3,CALHOUN COUNTY,Grade  7,341
2014-2015,3,CALHOUN COUNTY,Grade  8,299
2014-2015,3,CALHOUN COUNTY,Grade  9,343
2014-2015,3,CALHOUN COUNTY,Grade 10,321
2014-2015,3,CALHOUN COUNTY,Grade 11,300
2014-2015,3,CALHOUN COUNTY,Grade 12,247
2014-2015,14,CALLAHAN COUNTY,Early Education,9
2014-2015,14,CALLAHAN COUNTY,Pre-kindergarten,116
2014-2015,14,CALLAHAN COUNTY,Kindergarten,187
2014-2015,14,CALLAHAN COUNTY,Grade  1,179
2014-2015,14,CALLAHAN COUNTY,Grade  2,197
2014-2015,14,CALLAHAN COUNTY,Grade  3,186
2014-2015,14,CALLAHAN COUNTY,Grade  4,181
2014-2015,14,CALLAHAN COUNTY,Grade  5,188
2014-2015,14,CALLAHAN COUNTY,Grade  6,176
2014-2015,14,CALLAHAN COUNTY,Grade  7,204
2014-2015,14,CALLAHAN COUNTY,Grade  8,208
2014-2015,14,CALLAHAN COUNTY,Grade  9,194
2014-2015,14,CALLAHAN COUNTY,Grade 10,177
2014-2015,14,CALLAHAN COUNTY,Grade 11,173
2014-2015,14,CALLAHAN COUNTY,Grade 12,156
2014-2015,1,CAMERON COUNTY,Early Education,311
2014-2015,1,CAMERON COUNTY,Pre-kindergarten,6178
2014-2015,1,CAMERON COUNTY,Kindergarten,6678
2014-2015,1,CAMERON COUNTY,Grade  1,7506
